now_timestamp,created_timestamp,balance,created_date,created_time,order_id,pair_id,pair_status,market,side,type,price,size,fee,amount
2023-04-07 00:33:24.270689,2023-03-18 11:32:20.440,5489.57,18/03/2023,11:32:20,799a5d558c2e13c3dfed775f9d6bc5a61c517f5f501660254ccce69d60652ca,,,ADA-USD,SELL,MARKET,0.355,700.0,0.124,-248.624
2023-04-07 00:33:24.270689,2023-03-18 13:51:42.740,5489.57,18/03/2023,13:51:42,07f14b424aa8cef0f3510123d75c4515e2f42ed5b20f6c7c72f0e0d85c518af,,,FIL-USD,SELL,MARKET,6.32,39.5,0.125,-249.765
2023-04-07 00:33:24.270689,2023-03-18 11:38:00.901,5489.57,18/03/2023,11:38:00,7d7e16e466356dc7346b387a2969baa365a32157edeec9c94c75e44d3131ddb,82f09c1f-cf3,OPEN,ZRX-USD,BUY,MARKET,0.243,1000.0,0.121,243.121
2023-04-07 00:33:24.270689,2023-03-18 14:51:21.936,5489.57,18/03/2023,14:51:21,73b34d4c3c556774caf2b8908fc581aada73176ad20f47db02f21850eda2bce,,,ZRX-USD,BUY,MARKET,0.241,1000.0,0.12,241.12
2023-04-07 00:33:24.270689,2023-03-18 12:10:30.765,5489.57,18/03/2023,12:10:30,3c2d2862a2739eed67c75b75889cb98a712fa35fb5b95d417d85175794de70e,,,SUSHI-USD,SELL,MARKET,1.278,100.0,0.064,-127.864
2023-04-07 00:33:24.270689,2023-03-18 10:13:58.568,5489.57,18/03/2023,10:13:58,69e9c5984fe88b5d5715566763741222bfad8a1c50e6d6633441d634a02773a,,,1INCH-USD,SELL,MARKET,0.533,400.0,0.106,-213.306
2023-04-07 00:33:24.270689,2023-03-18 12:26:42.060,5489.57,18/03/2023,12:26:42,13a584e69494c1fd001d6a3a4685524b738e2148ecd7e16b6704c5a29301bbc,,,FIL-USD,BUY,MARKET,6.35,39.4,0.125,250.315
2023-04-07 00:33:24.270689,2023-03-18 11:05:57.883,5489.57,18/03/2023,11:05:57,1499d6b5831a89760da079686b13b02893347081061e85856338c354e476bcb,,,ADA-USD,SELL,MARKET,0.353,700.0,0.124,-247.224
2023-04-07 00:33:24.270689,2023-03-18 11:26:11.132,5489.57,18/03/2023,11:26:11,653da65f62b0db02701281c709c07f7b3cd405f7573179122e306baf6ab8019,,,ADA-USD,BUY,MARKET,0.356,700.0,0.124,249.324
2023-04-07 00:33:24.270689,2023-03-18 14:51:43.284,5489.57,18/03/2023,14:51:43,178e53368ba00df1c70a1bc9c7fdce2d4b938139cf86dcb740845f9953f446d,,,COMP-USD,SELL,MARKET,47.3,5.29,0.125,-250.342
2023-04-07 00:33:24.270689,2023-03-18 10:35:13.506,5489.57,18/03/2023,10:35:13,182682747312601efe375898e972e61a359f344c6e7821736dcc5ec6b46417f,,,ADA-USD,SELL,MARKET,0.351,710.0,0.125,-249.335
2023-04-07 00:33:24.270689,2023-03-18 10:14:07.157,5489.57,18/03/2023,10:14:07,19e2da867bafdbb9fc956206c44ef04c643f2d34ab3f67b8b0988e5ce67b7cd,,,ZRX-USD,BUY,MARKET,0.243,1000.0,0.122,243.122
2023-04-07 00:33:24.270689,2023-03-18 14:16:02.913,5489.57,18/03/2023,14:16:02,5545565a4fa879e48bbe44d991afc013b3e1bd0060c84f4d415e86e76bf40de,,,ZRX-USD,SELL,MARKET,0.24,1000.0,0.12,-240.12
2023-04-07 00:33:24.270689,2023-03-18 11:32:41.734,5489.57,18/03/2023,11:32:41,4c900c1aee981c5c944821516ef0d7cdd2c07e35557079fbf7354321b8f8af0,,,UMA-USD,BUY,MARKET,2.15,116.8,0.125,251.245
2023-04-07 00:33:24.270689,2023-03-18 11:40:24.598,5489.57,18/03/2023,11:40:24,68ae24529bcaab621f8de03218bd9b393fc7920630865b16f423f3c24101057,,,UMA-USD,SELL,MARKET,2.14,116.8,0.125,-250.077
2023-04-07 00:33:24.270689,2023-03-18 10:35:36.489,5489.57,18/03/2023,10:35:36,51020400d4df391a274383e96954de0a09347cb3a922e63f0e26165601ab906,,,ADA-USD,BUY,MARKET,0.354,710.0,0.126,251.466
2023-04-07 00:33:24.270689,2023-03-18 12:10:58.070,5489.57,18/03/2023,12:10:58,1f5da819bb82635bed26082944431da70c6abbaf4c5663c65ca20ed9f23aabc,,,SUSHI-USD,BUY,MARKET,1.282,100.0,0.064,128.26399999999998
2023-04-07 00:33:24.270689,2023-03-21 17:51:27.038,5489.57,21/03/2023,17:51:27,2e9a6c986fba285785dc4c5a1cd5551fa308e4944bef5f570b135a37fc16191,,,BCH-USD,BUY,MARKET,132.7,1.89,0.125,250.928
2023-04-07 00:33:24.270689,2023-03-21 17:52:10.942,5489.57,21/03/2023,17:52:10,7689868ea4553843d0f8122e2bbfa4b8319ef9054a48b82df63b6b9f07f4e3a,,,BCH-USD,SELL,MARKET,132.5,1.89,0.125,-250.55
2023-04-07 00:33:24.270689,2023-03-21 17:49:02.008,5489.57,21/03/2023,17:49:02,52d9ba5f583f539c56e391760e6025730d26198c78caed1adce3853c074db35,,,BCH-USD,SELL,MARKET,132.3,1.89,0.126,-250.17300000000003
2023-04-07 00:33:24.270689,2023-03-21 17:48:20.505,5489.57,21/03/2023,17:48:20,254c07914084057f34f60433df4dff99919981eaddb21a31a69d841d88efbd7,,,BCH-USD,BUY,MARKET,132.8,1.89,0.125,251.117
2023-04-07 00:33:24.270689,2023-03-23 13:59:07.723,5489.57,23/03/2023,13:59:07,4ca1272aa08c4499ed8002eafe855868baeb4ea9803c45ab69f69f58ca23527,,,1INCH-USD,BUY,MARKET,0.507,400.0,0.101,202.901
2023-04-07 00:33:24.270689,2023-03-23 13:59:14.706,5489.57,23/03/2023,13:59:14,523c43d2511c9af87c867c23aef15559f930c1d7ab2f1a14125d328981c3a67,,,FIL-USD,SELL,MARKET,5.68,39.7,0.113,-225.609
